Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Quality_label
0.001660121,0.591013168,147.6083726,38.18634497,-3.375456993,-3.213225161,3.359175653,-1.450908772,-0.226885823,0.004486877,6.85607525,0.168760714,1.098755461,2,2,2,3,3,1,2,2
1.601748949,0.015051685,0.035864443,51.13032624,-3.041346783,-2.620329792,3.359175653,-1.450908772,-0.226885823,0.004486877,0.00036216,11.64903347,0.066670797,3,2,3,1,3,1,2,3
0.098038764,69.23368456,0.08092026,0.11226532,-3.041346783,-2.705029227,3.359175653,-1.450908772,-0.226885823,0.004486877,0.022200868,0.078212851,110.0796892,1,1,3,1,2,2,2,3
18.18185974,0.047325071,0.018061277,1.098102095,-3.041346783,-2.620329792,3.359175653,-1.450908772,-0.226885823,0.004486877,1.459004308,0.380281023,0.011491433,1,1,3,1,2,2,2,3
0.012085348,0.008748659,0.005508504,524.3273958,-3.041346783,-2.620329792,3.359175653,-1.450908772,-0.226885823,0.004486877,11.57664653,1.555671651,38.61338614,1,1,3,1,1,1,2,3
0.004062021,14.55648307,0.786944931,0.010545003,-3.279997071,-2.789728578,3.359175653,-1.450908772,-0.226885823,0.004486877,0.001554977,8.998939535,6.392711623,2,2,2,1,3,1,2,1
0.438449218,1.232558862,2.882698503,0.610756936,0.204297522,-0.333447229,-0.221250635,1.251638741,-1.28525536,-1.991743397,10.6906373,0.034556547,0.000971484,1,2,2,1,2,2,2,1
48159.9174,0.002986741,14.86381255,0.063287291,0.156567456,-0.502845938,-0.221250635,1.251638741,-1.28525536,-1.991743397,0.057851304,0.255093508,0.09039487,2,2,2,1,3,1,2,1
1.456600828,52.38157831,20.6252828,366.0748306,0.156567456,-0.587545292,-0.221250635,1.251638741,-1.28525536,-1.991743397,120.7918429,49.15163486,43.31593792,1,2,2,1,1,1,2,2
0.000108558,4.784653655,31.91667163,20.6723877,0.108837391,-0.756944004,-0.221250635,1.251638741,-1.28525536,-1.991743397,0.000305611,0.020347983,58.68101441,2,2,2,1,2,1,2,1
12.46032336,75.94033719,0.051240926,0.710990045,0.204297522,-0.164048519,-0.221250635,1.251638741,-1.28525536,-1.991743397,0.013220402,205.8762045,52.98706474,1,2,1,1,2,1,2,2
0.778408827,9.256196571,74.33593499,2.98212341,0.204297522,-0.164048519,-0.221250635,1.251638741,-1.28525536,-1.991743397,5.271388284,0.403754433,44.60449636,2,2,2,1,2,1,2,1
0.000757851,0.022673385,199.6565815,3.761593299,0.204297522,-0.164048519,-0.221250635,1.251638741,-1.28525536,-1.991743397,5.54441013,0.019520658,0.029288161,1,2,2,1,2,1,2,0
87.02416863,0.077502272,228.0043906,0.732291837,0.252027587,-0.079349164,-0.221250635,1.251638741,-1.28525536,-1.991743397,6.37E-05,6831.208732,73.10280998,2,2,2,3,3,2,2,2
2.850769644,1263.088796,5.224136842,33.25721796,0.204297522,-0.333447229,-0.221250635,1.251638741,-1.28525536,-1.991743397,153859.9662,0.310028746,6.597902992,2,2,2,1,3,1,2,1
0.002538588,4.619355482,38.40890102,0.526750198,0.347487718,0.090049546,-0.221250635,1.251638741,1.88985326,-1.278804004,34.33833143,0.232630998,9.287540649,2,2,2,1,2,2,2,1
0.234520554,16.31074551,2264.226344,375.6405822,0.108837391,0.598245676,-0.221250635,1.251638741,1.88985326,-1.278804004,0.106476637,1116.138851,0.001585548,3,3,2,3,3,2,2,3
13.29663283,0.015195613,476.8418065,1.292070006,0.347487718,0.090049546,-0.221250635,1.251638741,1.88985326,-1.278804004,2.275503034,0.000486815,0.304471515,3,3,1,2,3,4,3,3
0.220540441,262.1935928,4.283586535,1.539752546,0.538407979,0.090049546,-0.221250635,1.251638741,0.831483719,-0.423276749,0.000294904,188.4255471,2.849446122,1,2,2,1,3,1,2,0
0.204163626,5.166549651,0.299501005,0.051690713,0.586138045,0.767644385,-0.221250635,1.251638741,0.831483719,-0.423276749,67.86200225,26083.18584,0.011231994,1,2,2,1,2,1,2,0
35.59793701,0.412560671,0.062600934,51.42670094,0.586138045,0.767644385,-0.221250635,1.251638741,0.831483719,-0.423276749,1946.04821,64.94821351,7.025543939,1,2,2,1,2,1,2,0
1.349669848,0.005561291,73.36344503,0.606519316,0.72932824,0.598245676,-0.221250635,1.251638741,0.831483719,-0.423276749,0.095300872,2.799358597,0.01566678,1,2,2,2,2,1,2,1
0.029587956,1.853346918,1.437164389,1505.668106,0.777058306,0.428846966,-0.221250635,1.251638741,0.831483719,-0.423276749,0.001420833,0.222995114,0.585141568,1,2,2,1,2,1,2,0
41.99098554,0.241054626,81.85109043,0.03134104,0.63386811,0.428846966,-0.221250635,1.251638741,0.831483719,-0.423276749,87.94010638,34426.3453,0.058820859,1,1,2,1,2,1,2,2
0.318964175,0.000280997,0.001395807,0.000868602,0.72932824,0.85234374,-0.221250635,1.251638741,0.831483719,-0.423276749,2.520894919,19.07308795,1.328026794,1,2,2,1,2,1,2,0
0.126286663,0.145321509,0.022314482,0.145914473,0.72932824,0.85234374,-0.221250635,1.251638741,0.831483719,-0.423276749,0.008479191,0.000919479,41.31410526,1,2,2,1,1,1,2,2
